time,ax,ay,az,aT
0.0060,0.1044,-0.4557,0.0608,0.471
0.0070,0.2949,-0.8261,-0.3170,0.933
0.0090,0.6043,-0.8472,-0.4632,1.139
0.0220,0.9468,-1.0017,-0.5969,1.502
0.0240,0.9508,-0.8564,-0.9421,1.589
0.0410,1.3738,-0.7593,-1.3253,2.054
0.0430,1.5073,-0.5523,-1.1432,1.971
0.0760,1.4835,-0.5831,-1.3158,2.067
0.0780,1.3387,-0.6415,-1.3733,2.022
0.0800,0.9917,-0.7271,-1.4881,1.930
0.0820,0.8154,-0.6632,-1.5691,1.889
0.0950,0.5031,-0.6135,-1.6064,1.792
0.1160,0.2635,-0.3949,-0.9396,1.053
0.1190,0.2277,-0.2464,-1.0723,1.124
0.1230,0.2628,-0.0211,-0.4245,0.500
0.1320,0.5819,-0.1269,-0.4566,0.750
0.1760,0.9290,-0.1102,-0.4550,1.040
0.1780,1.1107,-0.0131,-0.5730,1.250
0.1800,1.2587,0.0506,-0.5513,1.375
0.1830,1.3677,-0.0479,-0.4856,1.452
0.1850,0.8453,0.0564,-0.0789,0.851
0.1970,0.8898,0.1355,-0.3313,0.959
0.2110,1.0308,0.2158,-0.7828,1.312
0.2130,1.4780,0.1218,-1.0417,1.812
0.2330,1.5241,-0.0639,-0.9409,1.792
0.2360,0.8218,-0.1768,-0.5958,1.030
0.2410,0.3825,0.0999,0.1242,0.414
0.2530,0.2095,0.3156,-0.0336,0.380
0.2780,0.2760,0.5241,-0.6274,0.863
0.2800,0.3592,0.5691,-0.8337,1.071
0.2810,0.4223,0.3038,-0.6199,0.809
0.3030,-0.3936,-0.5022,-2.1591,2.251
0.3050,0.2114,-0.9800,-0.8116,1.290
0.3250,-0.0910,-1.7990,-1.2617,2.199
0.3290,0.0134,-2.0396,-1.7656,2.698
0.3310,-0.3181,-1.8454,-1.3754,2.323
0.3710,0.3171,-1.1690,-1.0880,1.628
0.3730,0.7294,-0.4760,-0.4862,0.998
0.3740,0.8611,-0.0022,-0.0297,0.862
0.3760,0.8242,0.2724,-0.0782,0.872
0.3810,0.4863,0.4215,-0.3044,0.712
0.3910,0.2455,0.6027,-0.0867,0.657
0.4010,-0.1158,0.5800,0.2252,0.633
0.4170,-0.2902,0.4444,-0.0767,0.536
0.4210,-0.5081,0.4648,-0.2407,0.729
0.4310,-0.1953,0.5509,-0.1388,0.601
0.4500,0.1926,0.6686,-0.4087,0.807
0.4510,0.6559,0.6032,-0.5724,1.059
0.4880,0.7121,0.5112,-0.6305,1.080
0.4900,0.7168,0.3893,-0.5941,1.009
0.4920,0.6247,0.2432,-0.3430,0.753
0.4930,0.5268,0.3917,-0.4565,0.800
0.5000,0.6529,0.5835,-0.4072,0.966
0.5110,0.5074,0.6877,-0.1812,0.874
0.5380,0.0488,0.4756,0.0780,0.484
0.5400,-0.1615,0.3353,-0.0647,0.378
0.5410,-0.4083,0.2578,0.3243,0.582
0.5500,-0.3902,0.1198,0.4785,0.629
0.5700,-0.1757,-0.0298,0.8816,0.899
0.5720,-0.1444,-0.1007,1.4184,1.429
0.5800,-0.1522,-0.2540,1.6107,1.638
0.5910,-0.1764,-0.3844,1.5843,1.640
0.6000,-0.3365,-0.3845,1.3204,1.416
0.6130,-0.4699,-0.6159,0.9671,1.239
0.6190,-0.4341,-0.7473,0.4851,0.991
0.6320,-0.5064,-0.7475,0.2899,0.948
0.6960,-0.4792,-0.5597,-0.0412,0.738
0.7000,-0.6636,-0.6802,0.0846,0.954
0.7030,-0.8165,-0.5843,0.3370,1.059
0.7050,-0.6561,-0.5632,0.2272,0.894
0.7070,-0.6522,-0.5532,0.5744,1.030
0.7090,-0.3068,-0.5995,0.8045,1.049
0.7120,-0.1583,-0.8460,0.8676,1.222
0.7140,-0.3683,-1.0416,0.5839,1.250
0.7220,-0.3342,-1.0477,0.5387,1.225
0.7310,-0.2710,-1.0322,0.2827,1.104
0.7560,-0.1467,-0.6952,-0.2330,0.748
0.7660,-0.4156,-0.6215,-0.4300,0.862
0.7690,-0.7649,-0.5709,-0.6788,1.171
0.7710,-0.9494,-0.5992,-0.8367,1.400
0.8360,-0.8375,-0.6838,-0.8613,1.382
0.8390,-0.7321,-0.7385,-0.6996,1.253
0.8410,-0.4469,-0.8413,-1.2227,1.550
0.8430,-0.5808,-1.7671,-1.3189,2.280
0.8450,-0.9485,-1.8386,-0.8851,2.250
0.8470,-0.8874,-1.2315,-0.6240,1.641
0.8490,-0.8254,-0.9595,-0.5497,1.380
0.8510,-0.8492,-0.8593,-0.8050,1.452
0.8590,-1.0778,-0.6647,-1.2032,1.747
0.8860,-1.2387,-0.5295,-1.5199,2.031
0.8890,-1.2955,-0.4718,-1.6419,2.144
0.9030,-1.0841,-0.3325,-1.7425,2.079
0.9070,-1.0697,-0.0532,-1.9476,2.223
0.9090,-0.9613,-0.0032,-1.8696,2.102
0.9320,-0.8512,0.0531,-1.7280,1.927
0.9340,-1.0953,-0.0134,-1.8525,2.152
0.9380,-1.3015,0.1117,-1.7821,2.210
0.9620,-2.0134,0.3029,-1.1942,2.360
0.9640,-1.4268,0.5257,0.0178,1.521
0.9680,-1.1810,0.9255,0.5613,1.602
0.9770,-1.0609,0.9097,1.0341,1.738
1.0050,-0.7171,0.9389,0.5051,1.285
1.0070,-0.2928,0.8923,-0.0050,0.939
1.0090,-0.1859,0.5219,-0.3345,0.647
1.0180,-0.0928,0.2494,-0.5031,0.569
1.0280,-0.5420,-0.0887,-0.6210,0.829
1.0480,-0.6437,0.1257,-0.9271,1.136
1.0490,-0.7212,0.3097,-1.3311,1.545
1.0600,-0.8186,0.5120,-1.3693,1.675
1.1040,-1.0077,0.3774,-1.5450,1.883
1.1070,-0.7627,0.3080,-1.3523,1.583
1.1090,-0.3244,0.2469,-0.9899,1.071
1.1110,-0.0478,0.1600,-0.7028,0.722
1.1170,0.2005,-0.1378,-0.5092,0.564
1.1190,0.3708,-0.4691,-0.4277,0.735
1.1280,0.4966,-0.5294,-0.1898,0.750
1.1530,0.6097,-0.3625,-0.0928,0.715
1.1560,0.3937,-0.2142,0.1984,0.490
1.1580,0.2710,0.0293,0.2200,0.350
1.2370,0.1921,0.2078,0.2268,0.363
1.2390,-0.0216,0.3008,0.0632,0.308
1.2420,-0.1217,0.3035,-0.2636,0.420
1.2440,-0.2458,0.4547,-0.7120,0.880
1.2480,-0.1638,0.5422,-0.8861,1.052
1.2500,-0.1147,0.5655,-1.2606,1.386
1.2520,0.5105,0.5108,-1.5888,1.745
1.2550,0.2517,0.6157,-1.6073,1.739
1.2570,0.0518,0.7852,-1.3883,1.596
1.2600,-0.2768,0.7840,-1.0940,1.374
1.2680,-0.3848,0.8499,-0.5652,1.091
1.2770,-0.4571,0.6383,0.0548,0.787
1.3090,-0.3013,0.2928,0.3458,0.544
1.3120,-0.1257,0.1415,0.1131,0.220
1.3140,-0.1573,0.1924,-0.2883,0.381
1.3160,-0.1394,0.3921,-0.9790,1.064
1.3480,-0.2303,0.5508,-1.3049,1.435
1.3490,-0.2747,0.7678,-1.1958,1.447
1.3510,-0.2921,0.7830,-1.0117,1.312
1.3550,-0.1859,0.8216,-0.6279,1.051
1.3790,-0.1192,0.6597,-0.2597,0.719
1.3800,0.0128,0.5486,0.0126,0.549
1.3850,0.2333,0.3099,-0.3089,0.496
1.4270,0.9199,-0.1478,-0.5226,1.068
1.4290,1.2595,-0.6944,-0.1891,1.451
1.4300,1.3906,-0.5824,-0.1677,1.517
1.4320,1.4096,-0.4186,-0.3809,1.519
1.4360,0.9102,-0.3609,-0.4694,1.086
1.4590,0.7967,-0.3889,-0.3629,0.958
