time,ax,ay,az,aT
0.0030,0.1677,-1.6625,-1.4381,2.205
0.0040,0.4489,-0.5008,-2.3609,2.455
0.0230,0.3726,0.1605,-2.9998,3.027
0.0250,0.2434,-0.0165,-3.2003,3.210
0.0670,-0.2060,-0.1643,-3.7032,3.713
0.0680,-0.9565,-0.4584,-4.4935,4.617
0.0690,-0.7024,-0.2193,-4.0934,4.159
0.0710,-1.0405,-0.7394,-2.7056,2.992
0.0730,-0.4277,-1.2466,-3.0407,3.314
0.1020,0.0216,-1.9541,-3.4613,3.975
0.1030,0.2526,-2.1685,-2.7170,3.485
0.1050,1.2243,-1.5382,-1.9003,2.734
0.1250,2.0663,-0.6108,-1.1674,2.451
0.1260,2.4958,0.1198,-0.1662,2.504
0.1500,1.4480,-0.6558,1.5995,2.255
0.1510,1.1385,-0.7413,2.0493,2.459
0.1520,-0.0689,-1.4178,3.4858,3.764
0.1920,-0.1263,-1.0754,3.8946,4.042
0.1940,0.1952,-0.3007,3.5466,3.565
0.1950,0.6874,0.2328,3.4852,3.560
0.1960,0.4479,0.2797,4.8384,4.867
0.2040,0.8418,0.3832,7.0386,7.099
0.2110,1.4338,1.1163,9.9279,10.093
0.2220,-0.6912,1.9335,9.9569,10.166
0.2340,-1.6745,2.9765,9.9409,10.511
0.2430,-1.2390,3.4580,9.9375,10.595
0.2740,-1.3838,4.4269,9.9567,10.984
0.2790,-2.3677,4.8843,9.9960,11.375
0.2800,-0.7697,1.7886,10.0480,10.235
0.2850,0.3882,-1.1110,10.1048,10.173
0.3260,0.8563,-1.7028,10.1656,10.343
0.3280,1.3829,-0.5718,6.2443,6.421
0.3300,1.6684,0.6273,5.6641,5.938
0.3310,0.4820,-1.3337,5.0706,5.265
0.3340,0.9325,-0.8969,3.8822,4.092
0.3430,0.6839,-0.1588,3.1555,3.233
0.3610,0.7616,0.4174,3.0085,3.131
0.3620,0.5827,0.7044,3.0078,3.144
0.4010,0.9314,0.6533,2.5750,2.815
0.4450,1.0272,1.2468,3.0102,3.416
0.4460,0.4235,-0.0040,0.4581,0.624
0.4470,-1.2678,-0.2598,-1.8041,2.220
0.4480,-1.9251,-0.9014,-1.8566,2.822
0.4490,-2.1985,-1.2729,-2.8322,3.805
0.4500,-1.4401,-1.4144,-4.3783,4.821
0.4520,-0.8636,-1.7919,-5.2690,5.632
0.4530,-0.7667,-2.1690,-6.0636,6.485
0.4930,-0.2916,-2.0053,-6.7158,7.015
