time,ax,ay,az,aT
0.0060,-0.2903,0.9430,0.2987,1.031
0.0080,-0.1316,0.7200,0.6178,0.958
0.0100,0.1675,0.5588,0.6983,0.910
0.0120,0.4291,0.2294,0.3678,0.610
0.0140,0.5080,0.1884,-0.0144,0.542
0.0280,0.4545,0.0781,-0.1662,0.490
0.0300,0.5255,0.1689,-0.2213,0.595
0.0490,0.4966,0.1379,-0.5920,0.785
0.0510,0.3977,0.0893,-0.9242,1.010
0.0660,0.7945,-0.2327,-1.1752,1.438
0.0760,0.5567,-0.6389,-1.2592,1.518
0.0860,1.0284,-0.2843,-1.4238,1.779
0.1010,0.8804,-0.3052,-1.2725,1.577
0.1020,0.3215,-0.2966,-1.0975,1.181
0.1220,0.3276,-0.1994,-1.0563,1.124
0.1240,0.2642,-0.0532,-0.9141,0.953
0.1340,0.1916,-0.0334,-0.9396,0.960
0.1450,0.0601,-0.0816,-0.8075,0.814
0.1500,-0.0863,-0.0450,-0.6233,0.631
0.1600,-0.0878,-0.0140,-0.4106,0.420
0.1710,0.1566,0.0594,-0.6624,0.683
0.1840,0.2269,0.1637,-0.2491,0.375
0.1930,0.1947,0.0924,0.2447,0.326
0.1990,0.1961,-0.2153,-0.0477,0.295
0.2180,0.3164,-0.0750,0.1912,0.377
0.2200,0.6054,0.0377,0.2147,0.643
0.2310,0.0623,-0.2997,0.4144,0.515
0.2420,0.3596,-0.2732,0.1929,0.491
0.2490,0.3543,-0.0905,-0.0091,0.366
0.2670,0.3902,-0.1977,0.1383,0.459
0.2710,0.3109,-0.0621,0.2954,0.433
0.2830,0.2126,-0.2554,0.1890,0.382
0.3000,0.2088,-0.1212,-0.0510,0.247
0.3010,0.2895,-0.0358,0.0540,0.297
0.3120,0.3598,-0.0121,-0.1380,0.386
0.3180,0.5066,0.3681,-0.1429,0.642
0.3280,0.4454,0.6791,-0.0663,0.815
0.3400,0.2370,0.6990,-0.0908,0.744
0.3480,0.4897,0.7727,-0.1634,0.929
0.3590,0.6053,0.7899,-0.0016,0.995
0.3690,0.0687,0.3515,-0.0276,0.359
0.3830,-0.1233,-0.0600,-0.1308,0.189
0.3940,0.2449,-0.0657,-0.2861,0.382
0.3980,0.2844,-0.0577,-0.2209,0.365
0.4260,-0.0646,-0.2783,-0.2850,0.404
0.4340,-0.0261,-0.2998,-0.4156,0.513
0.4380,-0.0686,-0.0717,-0.4737,0.484
0.4400,-0.0539,-0.0793,-0.5888,0.597
0.4490,-0.1050,0.0405,-0.6078,0.618
0.4600,-0.2219,0.0488,-0.6168,0.657
0.4680,-0.3075,0.2204,-0.7307,0.823
0.4780,-0.2693,0.3457,-0.9399,1.037
0.5070,-0.4993,0.3225,-0.9290,1.103
0.5090,-0.4959,0.4372,-1.0141,1.211
0.5110,-0.4783,0.5366,-0.8743,1.132
0.5180,-0.4322,0.5677,-0.8351,1.098
0.5310,-0.3814,0.4836,-0.7818,0.995
0.5370,-0.3927,0.4470,-0.5516,0.811
0.5480,-0.4194,0.3963,-0.7094,0.914
0.5590,-0.3812,0.3570,-0.8340,0.984
0.5690,-0.3094,0.3219,-0.6573,0.795
0.5770,-0.2304,0.3484,-0.5527,0.693
0.5940,-0.1124,0.4162,-0.3764,0.572
0.6090,0.0686,0.7079,-0.2333,0.749
0.6100,0.4516,1.2116,0.1306,1.300
0.6220,-1.1813,0.7628,0.4978,1.492
0.6270,-1.1336,0.7015,0.3819,1.387
0.6400,-0.5185,0.9733,-0.1929,1.120
0.6470,0.1051,1.2583,-0.0300,1.263
0.6570,0.1599,0.9902,0.3723,1.070
0.6680,0.2098,0.6497,0.2674,0.733
0.6770,0.3312,0.4659,-0.0620,0.575
0.7000,0.5604,0.5675,0.1025,0.804
0.7020,0.4258,0.5763,-0.0007,0.717
0.7090,0.4085,0.5923,-0.0408,0.721
0.7180,0.0642,0.6591,0.0776,0.667
0.7280,-0.1234,0.6851,-0.1338,0.709
0.7410,-0.2231,0.6227,-0.0669,0.665
0.7470,-0.3217,0.6376,-0.1527,0.730
0.7570,-0.2216,0.4547,-0.3486,0.614
0.7670,-0.1379,0.5158,-0.6109,0.811
0.7770,0.0557,0.3697,-0.6767,0.773
0.7960,0.1292,0.3885,-0.9721,1.055
0.7990,0.3082,0.3784,-0.8889,1.014
0.8270,0.1669,0.2549,-1.1458,1.186
0.8300,0.3278,0.3135,-1.5125,1.579
0.8320,0.2251,0.3716,-1.5302,1.591
0.8370,0.2603,0.4270,-1.4674,1.550
0.8460,0.2287,0.4969,-1.4915,1.589
0.8560,0.3175,0.6697,-1.1234,1.346
0.8670,0.3090,0.7192,-1.0238,1.289
0.8760,0.4287,0.7931,-1.0681,1.398
0.8970,0.2410,0.8551,-0.9792,1.322
0.8990,0.0272,0.9297,-0.5466,1.079
0.9260,-0.0450,0.8721,-0.3443,0.939
0.9280,0.0755,0.9389,-0.4578,1.047
0.9310,0.1619,1.0121,-0.3893,1.096
0.9410,0.2007,1.0842,-0.3978,1.172
0.9460,0.1806,1.0294,-0.1489,1.056
0.9560,0.1728,1.0803,0.1135,1.100
0.9670,0.2256,1.1146,0.6725,1.321
0.9770,0.2162,1.1133,0.8966,1.446
0.9890,0.0939,1.2340,1.0597,1.629
0.9960,0.0318,1.1521,0.8694,1.444
1.0190,-0.0775,1.0735,0.8143,1.350
1.0220,-0.0955,1.0589,0.7646,1.310
1.0250,-0.0386,1.0645,0.5672,1.207
1.0410,-0.0506,1.0449,0.4468,1.138
1.0470,-0.0604,0.8805,0.2024,0.905
