time,ax,ay,az,aT
0.0020,-0.1775,-0.2534,-0.0575,0.315
0.0090,-0.0819,-0.2976,0.0181,0.309
0.0200,-0.0079,-0.1138,0.0697,0.134
0.0280,0.0616,-0.3417,-0.2980,0.458
0.0400,0.0538,-0.4139,-0.2928,0.510
0.0480,0.0800,-0.1815,-0.2086,0.288
0.0740,0.0334,-0.0760,-0.3101,0.321
0.0750,-0.0700,-0.0589,-0.4673,0.476
0.0830,-0.2519,-0.0128,-0.6640,0.710
0.0890,-0.1776,0.1036,-1.2739,1.290
0.0970,-0.1860,0.1106,-0.7513,0.782
0.1080,-0.2297,0.2820,-0.0907,0.375
0.1180,-0.2025,0.2819,-0.3661,0.505
0.1280,-0.1112,0.3080,-0.3810,0.502
0.1370,-0.1095,0.3441,-0.4057,0.543
0.1490,0.0203,0.3837,-0.3872,0.545
0.1610,-0.0341,0.3694,-0.4155,0.557
0.1720,-0.1236,0.3698,0.0475,0.393
0.1770,-0.1169,0.2268,0.2745,0.375
0.2090,-0.2188,0.1048,0.4167,0.482
0.2110,-0.7946,0.0963,0.3020,0.856
0.2120,-0.3409,0.3557,-0.4649,0.677
0.2200,0.0359,0.5806,-0.7553,0.953
0.2270,0.0881,0.3803,-0.8602,0.945
0.2370,0.1698,0.1117,-0.7705,0.797
0.2600,0.2019,-0.1056,-0.4521,0.506
0.2610,0.2355,-0.4561,-0.7042,0.871
0.2680,0.3264,-0.9227,-0.8244,1.280
0.2760,0.5630,-0.8332,-0.6763,1.212
0.2970,0.8464,-0.6723,-0.2121,1.102
0.2980,1.1338,-0.4877,-0.0729,1.236
0.3070,1.3344,-0.4159,-0.2434,1.419
0.3170,1.5003,-0.4669,-0.8020,1.764
0.3270,1.2777,-0.6129,-0.8473,1.651
0.3380,1.4305,-0.4532,-0.9908,1.798
0.3470,1.9656,-0.4019,-0.2278,2.019
0.3600,1.4300,-0.2209,1.5241,2.102
0.3850,0.4757,-0.3729,2.1039,2.189
0.3860,-0.4021,-0.6370,1.5667,1.738
0.3880,-0.8457,-0.6207,0.5007,1.162
0.3960,-0.1639,0.1903,-0.2854,0.380
0.4070,0.1085,0.6657,-0.9409,1.158
0.4190,-0.0019,0.5807,-1.2472,1.376
0.4260,-0.3637,0.4275,-1.4407,1.546
0.4370,-0.3234,0.2469,-1.6148,1.665
0.4460,-0.1851,0.1649,-1.1993,1.225
0.4660,0.1914,0.1829,-0.8075,0.850
0.4670,0.2974,0.1465,-0.2014,0.388
0.4750,0.2064,0.1936,-0.1666,0.328
0.4970,0.2816,0.3098,-0.0195,0.419
0.4990,-0.0167,0.3716,0.0963,0.384
0.5070,-0.1109,0.3463,0.5359,0.648
0.5160,0.4473,0.4110,0.5191,0.799
0.5260,0.4716,0.3238,0.3841,0.689
0.5350,0.1171,0.2836,0.5415,0.622
0.5630,0.3306,0.2000,0.2981,0.488
0.5650,-0.0245,0.0015,0.1597,0.162
0.5660,0.0243,-0.2112,-0.2871,0.357
0.5750,0.1755,-0.3650,-0.2995,0.504
0.5880,0.2771,-0.4917,-0.4923,0.749
0.5990,0.3973,-0.4713,-0.6461,0.893
0.6060,0.3542,-0.4616,-0.7388,0.940
0.6160,0.3628,-0.4331,-0.9527,1.108
0.6260,0.3225,-0.2794,-0.8890,0.986
0.6350,0.0890,-0.2347,-0.8188,0.856
0.6600,0.0476,-0.2818,-0.7347,0.788
0.6630,-0.0307,-0.3615,-0.4397,0.570
0.6650,0.2834,-0.2343,-0.4229,0.560
0.6750,0.1470,-0.2111,-0.2200,0.338
0.6970,0.3543,-0.2466,-0.2138,0.482
0.6990,0.8764,0.3401,-0.0598,0.942
0.7070,0.6841,0.3861,0.2936,0.839
0.7140,0.3536,0.3610,0.2113,0.548
0.7250,0.3826,0.5583,0.9407,1.159
0.7350,0.1641,0.7050,1.6092,1.765
0.7580,-0.1295,-0.0130,1.8333,1.838
0.7610,0.3991,-0.7093,0.6064,1.015
0.8170,0.7435,-0.3207,0.6013,1.009
0.8190,0.7322,0.3686,1.1512,1.413
0.8210,0.4026,0.8593,0.7221,1.192
0.8220,0.2708,0.6047,-0.7122,0.973
0.8240,0.4214,0.3310,-2.1005,2.168
0.8270,0.1676,0.1682,-2.2920,2.304
0.8290,-0.3295,-0.1712,-2.2267,2.257
0.8350,-0.8653,-0.7394,-2.3691,2.628
0.8480,-1.0296,-1.4238,-2.6889,3.212
0.8530,-1.0037,-1.5995,-2.7673,3.350
0.8750,-1.0136,-1.7758,-3.2807,3.866
0.8770,-0.9687,-2.3878,5.2462,5.845
0.9180,-1.4865,-2.4111,-2.3462,3.678
0.9210,-1.8750,-1.7511,1.0755,2.782
0.9230,-0.2734,-0.8014,0.9135,1.246
0.9250,0.6252,0.0392,1.1162,1.280
0.9270,2.3529,-0.0521,0.3451,2.379
0.9330,0.0570,-0.1253,0.5147,0.533
0.9540,-0.1585,-0.3227,0.2506,0.438
0.9550,0.1777,-0.2273,-0.3389,0.445
0.9990,0.4343,-0.2637,-0.5847,0.775
1.0010,0.4487,-0.1918,-0.2783,0.562
1.0020,0.4839,-0.0672,-0.0783,0.495
1.0040,0.6620,0.1780,-0.5633,0.887
1.0060,0.5450,0.1917,-0.8522,1.030
1.0130,0.6739,0.2387,-2.3065,2.415
1.0230,0.9330,-0.3508,-1.3000,1.638
1.0340,0.6684,-0.3846,-0.3606,0.851
1.0440,0.0349,0.2077,-0.7172,0.747
1.0600,-0.3801,0.3770,-0.6423,0.836
1.0620,-0.5638,0.5389,-0.7919,1.111
1.0720,-0.2547,0.2516,-0.5531,0.659
1.0960,-0.0028,-0.0778,-0.1151,0.139
1.0970,0.0316,-0.3045,0.2932,0.424
1.1020,0.0759,-0.1527,0.0844,0.190
1.1120,0.0924,0.0090,-0.4136,0.424
1.1220,0.1337,-0.0133,-0.7510,0.763
1.1320,0.1283,0.0249,-0.9055,0.915
1.1600,0.1816,-0.0626,-0.8814,0.902
1.1640,0.0469,-0.0510,-0.5860,0.590
1.1670,0.0773,-0.0385,-0.7358,0.741
1.1720,0.1117,-0.0266,-0.7002,0.710
1.2090,0.1489,-0.0758,-0.7532,0.771
1.2100,0.2079,-0.1602,-0.3760,0.459
1.2120,0.2635,-0.1856,-0.1738,0.366
1.2130,0.2974,-0.1193,0.0422,0.323
1.2210,0.2883,-0.1490,-0.0182,0.325
1.2320,0.1294,-0.1055,0.0008,0.167
1.2550,0.1615,-0.1105,-0.2035,0.282
1.2570,0.0867,-0.0669,-0.1050,0.152
1.2930,0.2486,-0.0824,0.0395,0.265
1.2940,0.2889,-0.0833,0.0130,0.301
1.2960,0.2745,-0.1576,-0.1369,0.345
1.2970,0.2877,-0.1675,-0.2563,0.420
1.3010,0.3330,-0.2460,-0.3187,0.522
1.3130,0.3679,-0.2575,-0.4808,0.658
1.3210,0.1975,-0.1958,-0.8307,0.876
1.3310,0.0431,-0.1742,-0.6266,0.652
1.3410,0.0765,-0.0730,-0.4001,0.414
1.3560,0.1576,0.0378,-0.5512,0.574
1.3610,0.1714,-0.1722,-0.2383,0.340
1.3710,0.2044,-0.1803,-0.1179,0.297
1.3900,0.2958,-0.2279,-0.2083,0.428
1.3920,0.3623,-0.1686,-0.1588,0.430
1.4010,0.2838,-0.1619,-0.1129,0.346
1.4140,0.0730,-0.2324,-0.4234,0.489
1.4200,-0.0291,-0.2367,-0.1121,0.264
1.4310,0.0002,-0.1065,-0.1767,0.206
1.4550,0.0696,-0.1686,-0.3038,0.354
1.4570,0.0846,-0.1238,-0.3487,0.380
1.4990,0.1178,-0.1956,-0.4139,0.473
1.5010,0.1348,-0.0769,-0.2108,0.262
1.5030,0.0617,-0.0824,-0.2752,0.294
1.5040,-0.0005,-0.0993,-0.4818,0.492
1.5060,0.0327,-0.1067,-0.5064,0.519
1.5140,-0.0036,-0.1405,-0.4979,0.517
1.5200,-0.0068,-0.2525,-0.3385,0.422
1.5300,0.0644,-0.2484,-0.2421,0.353
1.5530,0.0576,-0.1543,-0.3446,0.382
1.5550,0.0066,-0.0487,-0.1345,0.143
1.5860,0.0008,-0.0695,0.1087,0.129
1.5870,0.4269,-0.3104,0.2074,0.567
1.5890,0.4911,-0.4815,0.1279,0.700
1.5900,0.1732,-0.5575,-0.0333,0.585
1.6010,0.1389,-0.5744,-0.2187,0.630
1.6110,0.2181,-0.4589,-0.0215,0.509
1.6200,0.6221,-0.6266,0.4125,0.975
1.6300,0.2441,-0.5879,0.2608,0.688
1.6520,-0.2437,-0.2416,0.1835,0.389
1.6530,-0.6062,0.0508,0.3732,0.714
1.6910,-0.8301,0.3341,0.4854,1.018
1.6930,-1.0167,0.6225,-0.4255,1.266
1.6940,-0.8248,0.8696,-0.2740,1.229
1.6950,-0.6356,0.6134,0.0293,0.884
1.7000,0.0386,-0.3313,-0.3545,0.487
1.7110,0.8599,-1.6832,-5.8761,6.173
1.7200,0.7843,-0.2529,-4.3856,4.462
1.7300,0.8364,-0.6605,-3.4652,3.625
1.7630,1.5426,-0.5058,-2.4871,2.970
1.7650,0.8435,-0.5246,-1.1781,1.541
1.7680,0.4733,-0.4869,-0.5290,0.861
1.7710,0.1598,-0.0780,0.3581,0.400
1.8250,-0.0364,0.1577,1.0048,1.018
1.8280,-0.3254,0.3131,1.0094,1.106
1.8290,-0.9066,0.3199,1.1346,1.487
1.8310,-1.3673,0.1548,1.0910,1.756
1.8320,-1.3536,0.0113,1.1322,1.765
1.8340,-1.5400,-0.2492,1.2338,1.989
1.8400,-1.3328,-0.1916,1.5891,2.083
1.8480,-0.8060,0.0056,1.7075,1.888
1.8810,-0.3390,0.1202,1.6107,1.650
1.8830,0.0408,0.0672,1.0205,1.024
1.8890,0.3133,0.0340,0.2895,0.428
1.8920,0.4271,-0.1337,-0.2913,0.534
1.9330,0.4250,-0.2633,-0.8711,1.004
1.9340,0.4058,-0.2578,-1.5752,1.647
1.9360,0.3320,0.0390,-1.8514,1.881
1.9380,0.3143,-0.0294,-1.7235,1.752
1.9400,0.2315,0.2117,-1.1684,1.210
1.9480,-0.2221,0.1056,-0.3303,0.412
1.9650,-0.3744,0.3276,-0.1426,0.518
1.9670,-0.1762,0.2514,0.0663,0.314
2.0030,-0.0773,0.1897,-0.1484,0.253
2.0060,0.0985,-0.0724,-0.4223,0.440
2.0080,0.1724,-0.3055,-0.5080,0.617
2.0110,0.2691,-0.4699,-0.3360,0.637
2.0210,0.4474,-0.5260,-0.3462,0.772
2.0290,0.4934,-0.6281,-0.2665,0.842
2.0630,0.4684,-0.4399,-0.3500,0.732
2.0650,0.3259,-0.3928,-0.3737,0.633
2.0660,0.2046,-0.3275,-0.3013,0.490
2.0680,0.1487,-0.2853,-0.2232,0.392
2.1080,0.1501,-0.2254,-0.3093,0.411
2.1100,0.3286,-0.2721,-0.3096,0.527
2.1120,0.3588,-0.3503,-0.5083,0.714
2.1140,0.2275,-0.2483,-0.6096,0.696
