time,ax,ay,az,aT
0.0030,-2.3823,-0.3236,0.6952,2.503
0.0260,-1.6180,-0.3611,0.4814,1.726
0.0270,-1.0536,-0.4299,0.1834,1.153
0.0290,-0.8809,-0.5154,0.2123,1.042
0.0500,-0.9186,-0.6687,0.3845,1.199
0.0510,-0.8646,-0.5179,0.3316,1.061
0.1500,-0.7587,-0.1725,0.3775,0.865
0.1540,-0.7348,-0.1087,0.2936,0.799
0.1560,-0.9210,-0.1328,0.1270,0.939
0.1580,-1.5066,0.0968,0.3738,1.555
0.1590,-2.2761,0.2195,0.5120,2.343
0.1600,-2.5367,-0.0161,0.7345,2.641
0.1610,-2.2577,-0.3261,0.7366,2.397
0.1650,-1.6281,-0.4842,0.2189,1.713
0.1680,-0.7757,-0.3069,-0.5614,1.005
0.1690,-0.1124,-0.0880,-1.1284,1.137
0.1700,0.3317,-0.0824,-1.5125,1.551
0.1710,0.3755,-0.2014,-1.4429,1.505
0.1750,0.0885,-0.0591,-1.0892,1.094
0.1870,-0.2536,0.1335,-1.0803,1.118
0.2250,-0.9787,0.0491,-0.8780,1.316
0.2270,-1.3713,-0.0966,-0.7881,1.585
0.2280,-1.4127,-0.5499,-0.4176,1.572
0.2290,-0.7170,-0.5664,-0.8528,1.250
0.2620,0.0959,-0.3704,-1.1703,1.231
0.2640,0.7051,-0.2007,-1.3614,1.546
0.2650,0.9482,-0.1074,-1.4697,1.752
0.2660,1.0560,0.0349,-1.4359,1.783
0.3000,0.9186,0.1066,-1.3269,1.617
0.3010,0.7108,0.1016,-1.2331,1.427
0.3030,0.7137,0.1101,-1.0884,1.306
0.3030,0.8276,0.1650,-0.9895,1.300
0.3420,0.9590,0.3353,-0.8768,1.342
0.3430,1.0271,0.4419,-0.7561,1.350
0.3440,0.8720,0.4531,-0.6829,1.197
0.3460,0.7323,0.4718,-0.5933,1.054
0.3840,0.7125,0.5211,-0.5938,1.064
0.3860,0.7544,0.6330,-0.5417,1.124
0.3880,0.7253,0.6523,-0.5380,1.114
0.3890,0.7952,0.6737,-0.3321,1.094
0.3930,0.8359,0.7266,-0.1215,1.114
0.4190,0.8119,0.8141,-0.0806,1.153
0.4210,0.6472,0.8796,-0.0937,1.096
0.4220,0.4511,0.9538,-0.1831,1.071
0.4330,0.2978,0.9697,-0.1457,1.025
0.4760,0.1246,0.9855,-0.1187,1.000
0.4830,-0.0241,0.8895,-0.0856,0.894
0.4850,-0.1212,0.7423,-0.1646,0.770
0.4870,-0.1146,0.8640,-0.1549,0.885
0.4890,0.0504,1.0164,-0.2630,1.051
0.5130,0.1272,0.9854,-0.2214,1.018
0.5150,0.1192,0.8433,-0.1680,0.868
0.5160,0.1142,0.6562,-0.2707,0.719
0.5370,0.1325,0.5907,-0.2851,0.669
0.5380,0.2150,0.6524,-0.2555,0.733
0.5420,0.4041,0.7032,-0.0649,0.814
0.5610,0.6665,0.6387,0.1671,0.938
0.5620,0.7824,0.3823,-0.0976,0.876
0.5720,0.8751,0.1680,-0.7312,1.153
0.5970,0.9488,0.1601,-1.3192,1.633
0.5990,1.0539,0.2568,-1.6358,1.963
0.6010,1.0402,0.3090,-1.6583,1.982
0.6120,0.9415,0.3548,-1.5729,1.867
0.6280,0.7413,0.3851,-1.4392,1.664
0.6340,0.4603,0.4732,-1.3710,1.522
0.6420,0.2799,0.7462,-1.2388,1.473
0.6520,0.1254,0.9054,-1.0427,1.387
0.6620,-0.0089,0.7298,-0.8587,1.127
0.6820,0.0260,0.3799,-0.8316,0.915
0.6870,0.3100,0.1250,-0.9334,0.991
0.6920,0.8461,0.0921,-1.0870,1.381
0.7680,1.3881,0.1021,-0.9926,1.710
0.7710,1.8201,-0.0014,-0.6945,1.948
0.7740,2.0381,-0.1548,-0.2478,2.059
0.7770,2.2765,-0.3100,0.2893,2.316
0.7800,2.5013,-0.4219,0.7531,2.646
0.7840,2.5530,-0.4461,1.2650,2.884
0.7870,2.3947,-0.4858,1.6670,2.958
0.7910,2.0702,-0.6304,1.8961,2.877
0.7940,1.6775,-0.9055,1.9518,2.728
0.8000,1.4587,-0.9763,1.7545,2.482
0.8030,1.4855,-0.7256,1.2848,2.094
0.8190,1.5447,-0.5598,0.6497,1.767
0.8230,1.5258,-0.5779,-0.2315,1.648
0.8510,1.5545,-0.6176,-0.8552,1.879
0.8520,1.5842,-0.6706,-1.6103,2.356
0.8530,1.6037,-0.6890,-2.2773,2.869
0.8620,1.7319,-0.6522,-2.8625,3.409
0.9110,1.9087,-0.5963,-3.1912,3.766
0.9120,2.0319,-0.4631,-3.4214,4.006
0.9140,2.0369,-0.3692,-3.6282,4.177
0.9160,1.9670,-0.3751,-3.7527,4.254
0.9170,1.8266,-0.3919,-3.6183,4.072
0.9460,1.6445,-0.3890,-3.2422,3.656
0.9480,1.5352,-0.2579,-2.8809,3.275
0.9490,1.3294,-0.0889,-2.9933,3.276
0.9510,1.1061,0.1311,-3.5323,3.704
0.9600,0.7668,0.1361,-4.0829,4.156
0.9710,0.1266,-0.1671,-4.0853,4.091
0.9970,-0.5713,-0.8023,-3.5776,3.711
1.0020,-0.8470,-1.0865,-3.2276,3.509
1.0030,-0.6609,-0.7345,-2.9107,3.074
1.0090,-1.4071,-0.1818,-1.6951,2.211
1.0200,0.2876,0.6517,0.8740,1.127
1.0310,-0.8305,1.1344,1.1877,1.840
1.0400,-1.2953,1.3510,2.9288,3.476
1.0490,-1.7935,1.0981,3.8765,4.410
1.0590,-1.9759,0.5237,4.4177,4.868
1.0690,-1.6224,-0.0171,4.6856,4.959
1.0960,-0.8967,-0.3204,5.2273,5.313
1.0980,-0.0545,-0.4998,6.2856,6.306
1.0990,1.3184,-0.3086,6.5837,6.722
1.1090,1.6324,-0.0931,6.4459,6.650
1.1320,1.4642,0.0133,6.1145,6.287
1.1330,1.1528,0.1293,5.0355,5.167
1.1390,0.6804,0.3102,4.0027,4.072
1.1500,0.3872,0.7108,3.0866,3.191
1.1590,0.3594,0.9318,2.1148,2.339
1.1690,0.4739,1.0022,1.0130,1.502
1.1790,0.6319,0.9421,0.2713,1.166
1.2000,0.5823,0.6641,-0.1595,0.898
1.2020,0.2699,0.2604,-0.3045,0.483
1.2090,-0.0417,-0.0463,-0.3605,0.366
1.2310,-0.1109,-0.1832,-0.3369,0.399
1.2320,0.4570,-0.2495,-0.2596,0.582
1.2380,1.0203,-0.2816,-1.0446,1.487
1.2500,1.8410,-0.2813,-0.4687,1.920
1.2590,2.4136,-0.3751,0.2028,2.451
1.2690,2.4859,-0.6231,0.8471,2.699
1.2790,2.1933,-0.8847,1.2783,2.688
1.2990,1.5227,-1.0914,1.2181,2.235
1.3010,0.8981,-1.0536,1.0604,1.744
1.3090,0.4492,-0.8625,0.7768,1.245
1.3810,0.0271,-0.6766,0.3909,0.782
1.3820,-0.4820,-0.5689,0.0215,0.746
1.3830,-0.8923,-0.4531,-0.3034,1.046
1.3840,-1.0113,-0.2948,-0.5051,1.168
1.3860,-1.0817,-0.1805,-0.7350,1.320
1.3870,-1.2381,-0.1325,-0.9185,1.547
1.3910,-1.4053,-0.2243,-0.8231,1.644
1.3930,-1.4405,-0.2859,-0.9902,1.771
1.3980,-1.3133,-0.2854,-1.4560,1.981
1.4080,-1.2764,-0.2468,-1.8411,2.254
1.4470,-1.4557,-0.2471,-2.2391,2.682
1.4480,-1.5572,-0.3685,-2.6346,3.083
1.4500,-1.5183,-0.4589,-3.0437,3.432
1.4510,-1.4112,-0.4479,-3.1714,3.500
1.4570,-1.0739,-0.3877,-3.5310,3.711
1.4700,-0.9348,-0.2890,-3.7374,3.863
1.4770,-0.8624,-0.1673,-3.7070,3.810
1.4880,-0.9618,-0.0307,-3.3975,3.531
1.5140,-1.2387,0.0210,-2.9809,3.228
1.5160,-1.4709,0.2497,-2.7786,3.154
1.5190,-1.8477,0.2988,-2.7239,3.305
1.5270,-2.1395,0.4379,-2.6681,3.448
1.5610,-2.1977,0.3894,-2.6370,3.455
1.5630,-1.9901,0.2148,-2.6359,3.310
1.5650,-1.6780,0.0043,-2.6187,3.110
1.5670,-1.1202,-0.1505,-2.5301,2.771
1.5770,-0.5109,-0.1210,-2.1689,2.232
1.5870,0.0014,0.0265,-1.6672,1.667
1.6200,0.4130,0.1054,-1.1664,1.242
1.6230,0.5783,0.0898,-0.5929,0.833
1.6260,0.5287,0.1203,-0.0786,0.548
1.6280,0.4484,0.1513,0.1956,0.512
1.6790,0.2539,0.2050,0.4792,0.580
1.6800,0.0974,0.2941,1.0302,1.076
1.6820,0.3106,0.4407,0.8462,1.003
1.6830,0.6926,0.6223,0.5108,1.062
1.6850,0.8509,0.6681,0.3667,1.142
1.6860,0.6280,0.5496,0.7294,1.108
1.6960,0.0949,0.2741,1.4654,1.494
1.7070,-0.3171,-0.0293,1.9846,2.010
1.7300,-0.4530,-0.0252,2.5082,2.549
1.7310,-0.3619,0.2304,3.4469,3.474
1.7360,-0.2299,0.3983,4.7992,4.821
1.7780,0.0100,0.2935,5.3124,5.321
1.7800,0.3396,0.1523,5.0588,5.072
1.7810,0.6598,0.1502,4.2619,4.315
1.7820,0.8528,0.0608,3.1953,3.308
1.7850,0.8655,-0.2752,2.2059,2.386
1.7970,0.9434,-0.5727,1.4653,1.834
1.8060,1.0154,-0.7207,1.0227,1.611
1.8380,1.1282,-0.7964,0.6906,1.544
1.8400,1.4083,-0.8750,0.4710,1.724
1.8410,1.6427,-0.8897,0.2778,1.889
1.8670,1.7229,-0.8899,-0.0518,1.940
1.8690,1.5857,-1.0059,-0.6133,1.975
1.8700,1.3326,-1.2037,-0.9865,2.049
1.8750,1.1517,-1.3884,-1.2602,2.201
1.8850,1.1373,-1.5031,-1.6326,2.494
1.9160,1.0912,-1.5134,-1.9512,2.700
1.9180,1.0847,-1.5435,-2.2312,2.922
1.9190,1.0487,-1.6841,-2.4704,3.168
1.9250,0.9669,-1.7310,-2.6425,3.304
1.9560,0.9192,-1.7742,-2.8834,3.508
1.9580,0.8289,-1.7929,-3.0097,3.600
1.9600,0.8172,-1.8170,-3.2159,3.783
1.9660,0.8508,-1.8334,-3.2611,3.837
1.9750,0.8701,-1.7526,-3.1491,3.708
1.9840,0.9220,-1.6485,-2.9933,3.539
2.0270,0.9434,-1.5375,-2.8554,3.377
2.0310,0.8696,-1.3772,-2.6015,3.069
2.0340,0.7450,-1.2034,-2.1950,2.612
2.0350,0.6076,-1.0778,-1.6742,2.082
2.0370,0.4166,-0.9422,-1.0946,1.503
2.0810,0.1277,-0.7578,-0.4874,0.910
2.0830,-0.1793,-0.5882,0.0561,0.617
2.0840,-0.5664,-0.5474,0.5121,0.940
2.0860,-1.0374,-0.6595,0.6163,1.375
2.0870,-1.0904,-0.7501,0.4809,1.408
2.0950,-1.0527,-0.7907,0.2202,1.335
2.1030,-1.0177,-0.7765,-0.1165,1.285
2.1290,-1.0352,-0.7933,-0.4419,1.377
2.1310,-1.0679,-0.8649,-0.7025,1.543
2.1340,-1.1000,-0.9343,-0.7274,1.616
2.1780,-1.1859,-0.9255,-0.4161,1.561
2.1790,-1.3018,-0.9634,0.2085,1.633
2.1800,-1.5297,-1.0405,0.8857,2.051
2.1820,-1.9232,-1.1230,1.4861,2.677
2.1840,-2.3965,-1.3017,1.8135,3.275
2.1940,-2.6875,-1.5575,1.7174,3.549
2.2030,-2.5906,-1.6509,1.5945,3.461
2.2350,-1.9869,-1.3908,1.7328,2.981
2.2370,-1.0647,-0.9082,2.0847,2.511
2.2390,-0.1558,-0.4883,2.5104,2.562
2.2730,0.6316,-0.1678,3.0414,3.111
2.2750,1.1206,-0.0391,3.4816,3.658
2.2770,1.2043,-0.0757,3.7118,3.903
2.2790,0.8913,-0.3693,3.3944,3.529
2.2830,0.4020,-0.7542,2.7819,2.910
